City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kalmunai,LK,77.18,overcast clouds,7.4167,81.8167,VS Villa
5,Hilo,US,71.6,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
7,Sampit,ID,74.1,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
8,Victoria,HK,75.99,few clouds,22.2855,114.1577,Mini Hotel Central
9,Carnarvon,AU,71.6,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
10,Cape Town,ZA,68.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
12,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
14,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
17,Mizan Teferi,ET,66.72,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
18,Padang,ID,73.4,light rain,-0.9492,100.3543,Mercure Padang
19,Sao Joao Da Barra,BR,77.95,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
21,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
23,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
28,East London,ZA,65.39,overcast clouds,-33.0153,27.9116,Tu Casa
30,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
39,Kiunga,PG,73.0,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
50,Pacific Grove,US,69.01,clear sky,36.6177,-121.9166,Lovers Point Inn
61,Cabo San Lucas,MX,77.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
71,Port Alfred,ZA,65.37,overcast clouds,-33.5906,26.891,The Halyards Hotel
75,Mar Del Plata,AR,66.2,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
76,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
77,Atar,MR,77.97,broken clouds,20.5169,-13.0499,Oumou Elghoura
79,Hanumangarh,IN,78.06,few clouds,29.5833,74.3167,SPOT ON 66636 Cps Resorts
86,Rikitea,PF,79.2,clear sky,-23.1203,-134.9692,Pension Maro'i
88,Imbituba,BR,78.8,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
90,Malmesbury,ZA,68.0,overcast clouds,-33.4608,18.7271,SuNel's Guest Rooms
92,Caravelas,BR,78.04,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
95,Oriximina,BR,75.81,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
100,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
103,Esperance,AU,66.2,clear sky,-33.8667,121.9,Hospitality Esperance
104,Buriti Bravo,BR,71.96,broken clouds,-5.8372,-43.8336,Hotel Fazenda
106,Dumai,ID,74.21,moderate rain,1.6833,101.45,Grand Zuri Dumai
111,Mana,GF,77.76,heavy intensity rain,5.6592,-53.7767,LE SAMANA
114,Hambantota,LK,73.4,overcast clouds,6.1241,81.1185,Bungalow 63
119,Stillwater,US,68.0,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
120,Itoman,JP,71.6,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
124,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
129,Kalangala,UG,73.63,few clouds,-0.3089,32.225,Ssese Habitat Resort
133,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
135,Alice Springs,AU,69.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
