City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Kalmunai,LK,7.4167,81.8167,77.18,79,93,4.92,overcast clouds,2021-03-28 22:48:13
1,Talnakh,RU,69.4865,88.3972,-14.22,99,59,4.16,broken clouds,2021-03-28 22:48:14
2,Snasa,NO,64.2457,12.3778,35.67,98,100,3.18,light rain,2021-03-28 22:48:14
3,Ushuaia,AR,-54.8,-68.3,46.4,61,75,14.97,broken clouds,2021-03-28 22:48:14
4,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,100,11.5,overcast clouds,2021-03-28 22:48:14
5,Hilo,US,19.7297,-155.09,71.6,78,90,4.61,overcast clouds,2021-03-28 22:48:14
6,Chiredzi,ZW,-21.05,31.6667,64.63,84,5,5.19,clear sky,2021-03-28 22:48:15
7,Sampit,ID,-2.5333,112.95,74.1,97,100,0.72,moderate rain,2021-03-28 22:48:15
8,Victoria,HK,22.2855,114.1577,75.99,87,23,6.98,few clouds,2021-03-28 22:48:09
9,Carnarvon,AU,-24.8667,113.6333,71.6,94,40,5.75,scattered clouds,2021-03-28 22:48:15
10,Cape Town,ZA,-33.9258,18.4232,68.0,72,0,4.61,clear sky,2021-03-28 22:48:16
11,Busselton,AU,-33.65,115.3333,61.66,71,11,6.38,few clouds,2021-03-28 22:48:16
12,Pisco,PE,-13.7,-76.2167,73.4,68,0,21.85,clear sky,2021-03-28 22:48:16
13,Clyde River,CA,70.4692,-68.5914,-4.0,77,90,10.36,overcast clouds,2021-03-28 22:48:16
14,Souillac,MU,-20.5167,57.5167,75.2,88,20,6.91,few clouds,2021-03-28 22:48:16
15,Togur,RU,58.3631,82.8265,25.48,96,100,7.29,overcast clouds,2021-03-28 22:48:17
16,Kodiak,US,57.79,-152.4072,42.8,26,1,5.75,clear sky,2021-03-28 22:43:20
17,Mizan Teferi,ET,6.9833,35.5833,66.72,63,97,1.9,overcast clouds,2021-03-28 22:48:17
